nama_produk,harga,diskon,rating,terjual,toko,lokasi,link,scraped_at
Kabel HDMI Sony 2.1 High Speed Ultra HD 8K HDMI HDR Smart PS5,Rp89.000,,5.0,40+ terjual,Originae Shop,Jakarta Pusat,https://www.tokopedia.com/originae/kabel-hdmi-sony-2-1-high-speed-ultra-hd-8k-hdmi-hdr-smart-ps5-1731894192985769744,2026-04-30T09:22:32.023663
PS5 Stranger of Paradise Final Fantasy Origins Standard Edition,Rp490.000,,5.0,30+ terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-stranger-of-paradise-final-fantasy-origins-standard-edition-region-2-f1a2d,2026-04-30T09:22:32.023664
Ps5 Returnal / Blu-Ray Disc,Rp731.000,,5.0,26 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-returnal-blu-ray-disc-1730916845720864263,2026-04-30T09:22:32.023666
Disc Drive PS5 Slim Digital Version Disc Drive PS5,Rp1.999.000,,5.0,16 terjual,Super-Gameshop.id,Jakarta Pusat,https://www.tokopedia.com/super-gameshop/disc-drive-ps5-slim-digital-version-disc-drive-ps5-1732075507454149657,2026-04-30T09:22:32.023667
Game PS5 NBA 2K25 PS5 NBA2K25 Basket PS5 Game,Rp445.000,,5.0,14 terjual,Divisi Game,Jakarta Pusat,https://www.tokopedia.com/divisigame/game-ps5-nba-2k25-ps5-nba2k25-basket-ps5-game,2026-04-30T09:22:32.023669
PS5 Headset Controller Hook PS5 Hanging Controller Hook,Rp39.000,22%,5.0,40+ terjual,Super-Gameshop.id,Jakarta Pusat,https://www.tokopedia.com/super-gameshop/ps5-headset-controller-hook-ps5-hanging-controller-hook,2026-04-30T09:22:32.023670
PS5 Baby Shark Sing & Swim Party,Rp435.000,,5.0,4 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-baby-shark-sing-swim-party,2026-04-30T09:22:32.023672
Ps5 Doom the Dark Ages (R3/ASIA),Rp879.000,,5.0,4 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-doom-the-dark-ages-r3-asia-1731102679569434119,2026-04-30T09:22:32.023673
Ps5 The Rise Of Ronin / Blu-Ray Disc,Rp575.000,,5.0,80+ terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-the-rise-of-ronin-blu-ray-disc-1730916855587177991,2026-04-30T09:22:32.023675
"Thrustmaster T300 RS GT Edition SimRacing Steering Wheel for PS4, PS5, PC - Racing Simulator",Rp8.100.000,,5.0,90+ terjual,Originae Shop,Jakarta Pusat,https://www.tokopedia.com/originae/thrustmaster-t300-rs-gt-edition-simracing-steering-wheel-for-ps4-ps5-pc-racing-simulator-1731438735532001040,2026-04-30T09:22:32.023677
"Logitech G29 Driving Force Racing Wheel and Pedal for PC, PS4 and PS5",Rp4.759.000,,5.0,7 terjual,Logitech Indonesia_NEW,Jakarta Utara,https://www.tokopedia.com/logitech-indonesia/logitech-g29-driving-force-racing-wheel-and-pedal-for-pc-ps4-and-ps5-1729958848250415344,2026-04-30T09:22:32.023678
